,datetime,open,high,low,close,volume,rsi
36,2022-05-31,29.16,29.465,28.452,28.923,16540186.2289,41.52630967969975
37,2022-06-01,28.923,29.085,26.484,26.86,16771147.8396,35.68623549195527
38,2022-06-02,26.86,27.243,26.388,27.118,13237998.4388,36.88175077131256
39,2022-06-03,27.118,27.28,25.738,25.944,13293588.7025,33.802577739103256
40,2022-06-04,25.944,26.014,25.521,25.958,7236666.3496,33.873477190426144
41,2022-06-05,25.958,26.378,25.617,26.117,7183967.9562,34.72850283859789
42,2022-06-06,26.117,27.6,26.103,27.346,20451285.4243,41.071154105919426
43,2022-06-07,27.346,27.423,25.14,27.046,21197646.9092,40.04813530786978
44,2022-06-08,27.046,28.43,26.457,28.084,13920627.2408,45.139854501520794
45,2022-06-09,28.084,29.098,27.914,28.505,13446374.7097,47.10217085919069
46,2022-06-10,28.505,28.665,27.262,27.548,13778552.9622,43.309784168347015
47,2022-06-11,27.548,28.035,26.525,27.434,14553266.7437,42.8670198855783
48,2022-06-12,27.434,29.263,26.591,27.921,37925433.5657,45.433407145342834
49,2022-06-13,27.921,28.1,23.811,24.435,53543291.7792,33.747548117008634
50,2022-06-14,24.435,24.694,22.246,23.936,36358677.0895,32.46048972658923
51,2022-06-15,23.936,25.515,21.0,25.495,40921250.4626,40.14140221293453
52,2022-06-16,25.495,25.88,22.966,23.259,13924689.5326,34.143806192385185
53,2022-06-17,23.259,25.047,23.108,24.33,10382539.0054,38.85617859156719
54,2022-06-18,24.33,24.686,21.06,22.776,16416920.527,34.948508832214074
55,2022-06-19,22.776,25.396,21.677,25.003,14434345.1171,43.6884609012823
56,2022-06-20,25.003,26.881,23.936,26.655,30922939.5179,49.14661928642932
57,2022-06-21,26.655,28.17,26.36,27.348,19300792.7269,51.2799789460658
58,2022-06-22,27.348,27.374,25.069,25.158,29344246.3528,44.873366349363266
59,2022-06-23,25.158,26.442,25.051,26.316,12948392.6844,48.534738995702185
60,2022-06-24,26.316,27.1,25.375,26.707,12806202.7168,49.74836681291455
61,2022-06-25,26.707,28.021,26.16,27.88,20333981.8896,53.30582639329575
62,2022-06-26,27.88,28.95,27.113,27.159,16330472.3707,50.919678371076415
63,2022-06-27,27.159,28.04,26.558,27.166,22651204.1883,50.94263850123473
64,2022-06-28,27.166,27.767,25.522,25.583,37079611.0815,45.73239037719166
65,2022-06-29,25.583,25.837,24.569,24.833,17936316.0945,43.46422884002689
66,2022-06-30,24.833,24.911,23.05,24.575,18244392.824,42.68004467071889
67,2022-07-01,24.576,25.5,23.963,24.558,19425762.4212,42.625472755006996
68,2022-07-02,24.558,24.773,24.023,24.576,6441647.6457,42.7090020832012
69,2022-07-03,24.576,24.63,23.709,24.35,9442938.2153,41.884496157243674
70,2022-07-04,24.35,26.004,23.916,25.895,17987051.9289,49.116462289205884
71,2022-07-05,25.895,26.2,24.4,25.132,24051452.7931,46.06758095454199
72,2022-07-06,25.131,26.473,24.75,26.241,34057209.0993,50.84379199378823
73,2022-07-07,26.241,27.744,25.934,27.414,35262193.6367,55.34806816141837
74,2022-07-08,27.415,28.25,26.807,27.338,22710072.3986,54.99644174694737
75,2022-07-09,27.338,27.66,27.053,27.104,10025881.1813,53.861830504546674
76,2022-07-10,27.104,27.112,25.594,25.865,12070195.5104,48.19249645593566
77,2022-07-11,25.865,25.924,24.792,24.962,18492598.4061,44.514951658355876
78,2022-07-12,24.962,25.102,23.785,23.846,12679968.3642,40.410682272360496
79,2022-07-13,23.846,24.999,23.23,24.962,16599217.1733,45.793007629547
80,2022-07-14,24.962,26.223,24.419,25.878,16974003.7695,49.80087758394221
81,2022-07-15,25.878,27.378,25.657,26.775,17700405.2638,53.43189652068688
82,2022-07-16,26.771,28.498,26.333,27.989,16606760.0612,57.87311985739443
83,2022-07-17,27.989,28.76,27.4,27.606,14940170.9968,56.05674002885145
84,2022-07-18,27.606,30.121,27.606,29.868,34101514.7876,63.36907630306168
85,2022-07-19,29.868,30.335,27.979,29.132,39084061.4886,59.87768305938353
86,2022-07-20,29.132,30.288,28.408,28.771,21753446.3423,58.1843527994853
87,2022-07-21,28.771,29.775,27.725,29.48,16609502.7052,60.54434032678652
88,2022-07-22,29.48,30.541,28.633,28.91,31445712.9685,57.72375796580622
89,2022-07-23,28.91,29.734,27.749,28.511,23061445.0662,55.76530982146598
90,2022-07-24,28.511,29.767,28.34,29.114,20905729.7497,58.0800756869963
91,2022-07-25,29.114,29.278,26.945,27.021,23093654.6585,48.57796661416434
92,2022-07-26,27.021,27.121,25.945,27.069,20070010.9686,48.784908063655834
93,2022-07-27,27.069,29.464,26.692,29.441,23564057.4073,57.81880703939092
94,2022-07-28,29.441,30.749,28.62,30.235,19885571.9804,60.3406244888821
95,2022-07-29,30.235,31.584,29.535,31.102,23200350.7102,62.94567961500454
96,2022-07-30,31.102,32.43,30.758,31.125,21012710.9545,63.01508435011212
97,2022-07-31,31.125,31.726,30.295,30.389,15724903.349,59.19419856835787
98,2022-08-01,30.389,30.94,29.833,30.76,19972985.2129,60.494540101272236
99,2022-08-02,30.761,31.012,28.838,29.267,11735511.3671,53.15379148189509
